2225+57  40633.271    4.1  LKS
2225+57  40648.405    3.7  LKS
2225+57  40649.271    4.0  LKS
2225+57  40652.271    3.9  LKS
2225+57  40655.385    4.1  LKS
2225+57  40656.271    4.2  LKS
2225+57  40656.688    4.0  LKS
2225+57  40659.667    4.0  LKS
2225+57  40660.271    4.2  LKS
2225+57  40660.655    4.0  LKS
2225+57  40667.354    4.0  LKS
2225+57  40668.271    3.9  LKS
2225+57  40669.438    3.8  LKS
2225+57  40675.275    3.9  LKS
2225+57  40710.354    4.1  LKS
2225+57  40711.354    3.8  LKS
2225+57  40712.354    3.6  LKS
2225+57  40713.386    3.9  LKS
2225+57  40714.366    4.1  LKS
2225+57  40716.375    4.3  LKS
2225+57  40724.396    3.7  LKS
2225+57  40725.396    3.9  LKS
2225+57  40726.375    4.1  LKS
2225+57  40732.375    4.2  LKS
2225+57  40741.478    4.1  LKS
2225+57  40744.478    3.6  LKS
2225+57  40745.469    4.1  LKS
2225+57  40746.457    4.3  LKS
2225+57  40749.478    3.8  LKS
2225+57  40751.478    4.0  LKS
2225+57  40752.491    4.2  LKS
2225+57  40753.478    4.3  LKS
2225+57  40755.478    3.9  LKS
2225+57  40756.478    4.2  LKS
2225+57  40757.5      4.1  LKS
2225+57  40758.502    4.3  LKS
2225+57  40759.5      3.9  LKS
2225+57  40763.5      4.2  LKS
2225+57  40764.479    4.1  LKS
2225+57  40765.5      3.7  LKS
2225+57  40767.458    4.1  LKS
2225+57  40773.438    4.1  LKS
2225+57  40774.438    4.3  LKS
2225+57  40775.438    4.2  LKS
2225+57  40776.438    3.6  LKS
2225+57  40778.438    4.1  LKS
2225+57  40786.438    4.3  LKS
2225+57  40797.438    3.6  LKS
2225+57  40805.469    4.0  LKS
2225+57  40806.458    4.1  LKS
2225+57  40810.438    4.0  LKS
2225+57  40811.438    4.1  LKS
2225+57  40812.438    4.3  LKS
2225+57  40813.438    3.8  LKS
2225+57  40814.438    3.6  LKS
2225+57  40817.438    4.2  LKS
2225+57  40818.438    4.1  LKS
2225+57  40823.438    4.2  LKS
2225+57  40825.438    3.6  LKS
2225+57  40826.417    3.8  LKS
2225+57  40827.417    4.1  LKS
2225+57  40829.417    3.8  LKS
2225+57  40830.417    3.7  LKS
2225+57  40832.333    3.9  LKS
2225+57  40835.354    3.8  LKS
2225+57  40836.333    3.8  LKS
2225+57  40837.333    3.9  LKS
2225+57  40838.333    4.0  LKS
2225+57  40839.333    4.1  LKS
2225+57  40845.333    4.1  LKS
2225+57  40848.354    4.0  LKS
2225+57  40851.354    3.7  LKS
2225+57  40852.354    3.8  LKS
2225+57  40853.375    4.0  LKS
2225+57  40856.375    3.7  LKS
2225+57  40857.417    3.8  LKS
2225+57  40858.333    3.9  LKS
2225+57  40859.3      4.0  LKS
2225+57  40862.396    3.6  LKS
2225+57  40866.365    4.3  LKS
2225+57  40887.354    4.1  LKS
2225+57  40898.315    4.1  LKS
2225+57  40944.4      4.0  LKS
2225+57  40954.354    4.1  LKS
2225+57  40955.25     4.2  LKS
2225+57  40956.25     4.3  LKS
2225+57  40958.417    3.7  LKS
2225+57  40959.354    3.9  LKS
2225+57  40962.25     4.1  LKS
2225+57  40963.25     4.2  LKS
2225+57  40966.25     4.1  LKS
2225+57  40976.396    4.0  LKS
2225+57  40978.417    4.2  LKS
2225+57  40982.313    4.0  LKS
2225+57  40983.417    4.3  LKS
2225+57  40984.21     4.1  LKS
2225+57  40986.25     3.8  LKS
2225+57  40997.25     3.7  LKS
2225+57  40998.375    3.9  LKS
2225+57  40999.25     4.1  LKS
2225+57  41003.25     3.9  LKS
2225+57  41008.387    3.9  LKS
2225+57  41009.375    4.1  LKS
2225+57  41010.25     4.2  LKS
2225+57  41018.35     3.7  LKS
2225+57  41026.35     3.8  LKS
2225+57  41033.475    3.8  LKS
2225+57  41046.333    4.0  LKS
2225+57  41051.354    3.8  LKS
2225+57  41053.354    4.2  LKS
2225+57  41054.354    4.3  LKS
2225+57  41055.255    3.9  LKS
2225+57  41055.428    3.6  LKS
2225+57  41056.333    4.0  LKS
2225+57  41056.435    3.9  LKS
2225+57  41057.396    4.1  LKS
2225+57  41059.333    4.3  LKS
2225+57  41061.365    3.7  LKS
2225+57  41062.354    4.0  LKS
2225+57  41063.354    3.8  LKS
2225+57  41067.417    4.0  LKS
2225+57  41068.396    4.1  LKS
2225+57  41069.375    4.3  LKS
2225+57  41071.417    3.8  LKS
2225+57  41072.375    3.8  LKS
2225+57  41075.333    4.1  LKS
2225+57  41077.386    3.8  LKS
2225+57  41078.375    3.9  LKS
2225+57  41080.375    4.2  LKS
2225+57  41083.375    3.9  LKS
2225+57  41088.396    3.8  LKS
2225+57  41093.417    3.6  LKS
2225+57  41094.396    4.0  LKS
2225+57  41099.417    3.8  LKS
2225+57  41116.417    3.8  LKS
2225+57  41127.417    3.9  LKS
2225+57  41134.417    4.2  LKS
2225+57  41136.417    3.8  LKS
2225+57  41137.417    3.9  LKS
2225+57  41138.437    4.1  LKS
2225+57  41138.5      4.2  LKS
2225+57  41139.384    4.1  LKS
2225+57  41139.508    3.9  LKS
2225+57  41140.396    4.1  LKS
2225+57  41142.417    3.8  LKS
2225+57  41143.417    4.1  LKS
2225+57  41146.437    3.7  LKS
2225+57  41148.417    3.8  LKS
2225+57  41149.417    3.9  LKS
2225+57  41150.417    4.1  LKS
2225+57  41151.417    3.9  LKS
2225+57  41153.417    3.8  LKS
2225+57  41154.417    3.9  LKS
2225+57  41158.417    3.7  LKS
2225+57  41160.417    4.2  LKS
2225+57  41161.417    4.1  LKS
2225+57  41163.396    3.7  LKS
2225+57  41164.417    3.9  LKS
2225+57  41168.396    3.8  LKS
2225+57  41178.375    3.8  LKS
2225+57  41179.375    3.8  LKS
2225+57  41181.333    4.0  LKS
2225+57  41182.354    4.2  LKS
2225+57  41183.354    4.2  LKS
2225+57  41184.354    3.6  LKS
2225+57  41187.333    4.1  LKS
2225+57  41188.333    4.2  LKS
2225+57  41189.354    3.8  LKS
2225+57  41190.333    3.6  LKS
2225+57  41193.333    4.2  LKS
2225+57  41195.374    3.6  LKS
2225+57  41201.333    3.8  LKS
2225+57  41202.333    4.1  LKS
2225+57  41206.375    3.6  LKS
2225+57  41209.333    4.2  LKS
2225+57  41210.333    4.2  LKS
2225+57  41211.333    3.6  LKS
2225+57  41212.333    3.8  LKS
2225+57  41217.333    3.8  LKS
2225+57  41225.292    4.2  LKS
2225+57  41235.271    4.1  LKS
2225+57  41240.375    4.0  LKS
2225+57  41241.396    4.3  LKS
2225+57  41243.333    4.0  LKS
2225+57  41249.333    3.9  LKS
2225+57  41251.438    4.15 LKS
2225+57  41252.396    4.1  LKS
2225+57  41255.25     3.9  LKS
2225+57  41267.395    4.0  LKS
2225+57  41270.395    3.8  LKS
2225+57  41321.396    3.9  LKS
2225+57  41369.4      4.0  LKS
2225+57  41389.405    3.95 LKS
2225+57  41390.387    4.1  LKS
2225+57  41391.405    4.2  LKS
2225+57  41392.41     4.1  LKS
2225+57  41393.417    3.8  LKS
2225+57  41394.41     3.7  LKS
2225+57  41395.41     4.0  LKS
2225+57  41396.405    4.1  LKS
2225+57  41397.405    4.2  LKS
2225+57  41399.417    3.8  LKS
2225+57  41402.405    4.1  LKS
2225+57  41463.4      3.9  LKS
2225+57  41495.417    4.2  LKS
2225+57  41496.417    3.7  LKS
2225+57  41512.417    3.9  LKS
2225+57  41513.417    4.2  LKS
2225+57  41515.417    4.1  LKS
2225+57  41517.417    3.7  LKS
2225+57  41518.396    3.9  LKS
2225+57  41519.417    4.0  LKS
2225+57  41520.417    4.2  LKS
2225+57  41531.417    4.3  LKS
2225+57  41536.417    4.1  LKS
2225+57  41537.42     4.0  LKS
2225+57  41538.417    3.6  LKS
2225+57  41540.417    3.9  LKS
2225+57  41548.375    4.2  LKS
2225+57  41558.396    4.2  LKS
2225+57  41559.417    3.9  LKS
2225+57  41560.4      3.8  LKS
2225+57  41561.417    4.1  LKS
2225+57  41566.396    3.9  LKS
2225+57  41580.396    4.1  LKS
2225+57  41591.418    3.9  LKS
2225+57  41592.354    3.6  LKS
2225+57  41594.375    3.9  LKS
2225+57  41595.375    3.9  LKS
2225+57  41597.417    4.0  LKS
2225+57  41613.354    4.0  LKS
2225+57  41633.417    4.3  LKS
2225+57  41634.425    3.85 LKS
2225+57  41658.375    3.8  LKS
2225+57  41659.375    4.2  LKS
2225+57  41660.374    4.2  LKS
2225+57  41663.458    3.9  LKS
2225+57  41668.375    3.9  LKS
2225+57  41672.292    3.7  LKS
2225+57  41673.31     3.9  LKS
2225+57  41674.292    4.0  LKS
2225+57  41677.458    3.8  LKS
2225+57  41678.375    3.6  LKS
2225+57  41679.458    4.0  LKS
2225+57  41680.292    4.2  LKS
2225+57  41681.292    4.3  LKS
2225+57  41682.29     3.9  LKS
2225+57  41683.292    3.7  LKS
2225+57  41685.271    4.0  LKS
2225+57  41696.292    4.0  LKS
2225+57  41705.208    3.7  LKS
2225+57  41725.25     4.0  LKS
2225+57  41727.25     3.8  LKS
2225+57  41737.354    3.7  LKS
2225+57  41740.313    4.2  LKS
2225+57  41741.333    4.0  LKS
2225+57  41748.292    3.7  LKS
2225+57  41751.292    4.0  LKS
2225+57  41764.317    3.7  LKS
2225+57  41766.317    4.2  LKS
2225+57  41771.354    3.8  LKS
2225+57  41776.396    4.0  LKS
2225+57  41779.333    4.0  LKS
2225+57  41781.333    3.8  LKS
2225+57  41785.375    3.7  LKS
2225+57  41796.386    3.9  LKS
2225+57  41806.396    3.8  LKS
2225+57  41807.396    3.9  LKS
2225+57  41810.375    4.1  LKS
2225+57  41813.375    3.7  LKS
2225+57  41814.375    3.9  LKS
2225+57  41818.396    3.8  LKS
2225+57  41819.375    3.9  LKS
2225+57  41820.375    4.0  LKS
2225+57  41821.375    4.2  LKS
2225+57  41826.417    4.1  LKS
2225+57  41830.417    4.0  LKS
2225+57  41831.417    4.1  LKS
2225+57  41831.612    4.0  LKS
2225+57  41832.417    4.3  LKS
2225+57  41852.417    4.1  LKS
2225+57  41854.417    3.9  LKS
2225+57  41855.436    3.9  LKS
2225+57  41858.417    4.0  LKS
2225+57  41860.417    3.7  LKS
2225+57  41862.417    3.9  LKS
2225+57  41864.354    4.2  LKS
2225+57  41865.417    3.9  LKS
2225+57  41866.375    3.9  LKS
2225+57  41868.375    4.2  LKS
2225+57  41869.417    4.3  LKS
2225+57  41870.417    4.1  LKS
2225+57  41872.396    3.9  LKS
2225+57  41873.417    4.0  LKS
2225+57  41878.417    4.2  LKS
2225+57  41880.417    4.2  LKS
2225+57  41892.375    3.8  LKS
2225+57  41893.375    3.9  LKS
2225+57  41894.375    4.1  LKS
2225+57  41895.375    4.3  LKS
2225+57  41902.375    4.3  LKS
2225+57  41907.375    3.8  LKS
2225+57  41908.417    4.1  LKS
2225+57  41909.333    3.8  LKS
2225+57  41910.375    4.3  LKS
2225+57  41917.333    4.2  LKS
2225+57  41923.375    4.0  LKS
2225+57  41927.354    3.9  LKS
2225+57  41930.354    3.7  LKS
2225+57  41933.417    4.0  LKS
2225+57  41934.333    4.2  LKS
2225+57  41936.354    3.7  LKS
2225+57  41939.375    4.3  LKS
2225+57  41940.333    3.9  LKS
2225+57  41942.333    3.9  LKS
2225+57  41943.333    4.2  LKS
2225+57  41951.333    3.8  LKS
2225+57  41952.417    3.9  LKS
2225+57  41953.375    4.1  LKS
2225+57  41957.375    3.8  LKS
2225+57  41960.396    4.0  LKS
2225+57  41961.396    4.1  LKS
2225+57  41968.333    3.8  LKS
2225+57  41973.252    3.8  LKS
2225+57  41976.313    4.3  LKS
2225+57  41982.333    4.2  LKS
2225+57  41984.375    3.8  LKS
2225+57  41985.292    3.9  LKS
2225+57  41986.333    4.0  LKS
2225+57  41987.375    4.2  LKS
2225+57  41989.25     3.7  LKS
2225+57  42001.417    3.9  LKS
2225+57  42007.25     4.1  LKS
2225+57  42009.343    4.3  LKS
2225+57  42012.25     3.9  LKS
2225+57  42016.313    3.7  LKS
2225+57  42017.229    3.9  LKS
2225+57  42026.208    3.9  LKS
2225+57  42031.375    4.0  LKS
2225+57  42032.396    3.8  LKS
2225+57  42035.229    4.0  LKS
2225+57  42036.229    4.2  LKS
2225+57  42036.415    4.3  LKS
2225+57  42037.229    3.7  LKS
2225+57  42047.25     4.1  LKS
2225+57  42048.25     4.1  LKS
2225+57  42053.375    3.9  LKS
2225+57  42070.292    3.9  LKS
2225+57  42074.292    4.1  LKS
2225+57  42080.292    3.7  LKS
2225+57  42089.292    3.9  LKS
2225+57  42106.317    4.0  LKS
2225+57  42116.375    3.9  LKS
2225+57  42118.396    3.8  LKS
2225+57  42129.395    3.8  LKS
2225+57  42133.354    3.9  LKS
2225+57  42134.396    3.6  LKS
2225+57  42135.417    3.9  LKS
2225+57  42136.354    4.1  LKS
2225+57  42139.313    3.8  LKS
2225+57  42141.333    4.2  LKS
2225+57  42144.313    3.9  LKS
2225+57  42146.375    4.1  LKS
2225+57  42148.375    3.9  LKS
2225+57  42154.333    4.0  LKS
2225+57  42155.386    3.6  LKS
2225+57  42156.386    3.8  LKS
2225+57  42159.396    4.2  LKS
2225+57  42164.396    3.9  LKS
2225+57  42175.417    4.3  LKS
2225+57  42178.417    3.9  LKS
2225+57  42186.375    4.2  LKS
2225+57  42187.425    4.2  LKS
2225+57  42189.417    3.9  LKS
2225+57  42203.417    3.8  LKS
2225+57  42224.456    4.3  LKS
2225+57  42231.417    3.9  LKS
2225+57  42251.396    3.8  LKS
2225+57  42267.396    3.9  LKS
2225+57  42274.354    3.7  LKS
2225+57  42275.333    4.0  LKS
2225+57  42276.333    4.2  LKS
2225+57  42284.417    3.6  LKS
2225+57  42285.417    3.8  LKS
2225+57  42289.333    3.7  LKS
2225+57  42301.354    3.9  LKS
2225+57  42310.296    4.0  LKS
2225+57  42311.317    3.7  LKS
2225+57  42358.33     3.9  LKS
2225+57  42362.313    4.3  LKS
2225+57  42385.417    4.2  LKS
2225+57  42395.396    4.3  LKS
2225+57  42412.333    4.1  LKS
2225+57  42414.396    4.1  LKS
2225+57  42420.296    3.9  LKS
2225+57  42421.313    3.9  LKS
2225+57  42428.296    4.0  LKS
2225+57  42437.313    4.0  LKS
2225+57  42454.417    4.1  LKS
2225+57  42458.396    4.3  LKS
2225+57  42459.236    4.0  LKS
2225+57  42459.471    4.2  LKS
2225+57  42501.313    3.8  LKS
2225+57  42521.313    3.8  LKS
2225+57  42529.296    4.0  LKS
2225+57  42540.417    3.7  LKS
2225+57  42543.396    3.8  LKS
2225+57  42546.355    3.8  LKS
2225+57  42553.417    3.8  LKS
2225+57  42554.417    4.1  LKS
2225+57  42559.417    4.0  LKS
2225+57  42560.556    4.0  LKS
2225+57  42561.417    4.3  LKS
2225+57  42565.396    4.0  LKS
2225+57  42568.417    3.8  LKS
2225+57  42570.417    4.2  LKS
2225+57  42575.456    4.0  LKS
2225+57  42590.417    3.9  LKS
2225+57  42597.417    3.9  LKS
2225+57  42601.396    3.8  LKS
2225+57  42602.444    4.0  LKS
2225+57  42603.396    4.1  LKS
2225+57  42608.396    4.2  LKS
2225+57  42609.313    4.0  LKS
2225+57  42615.417    4.3  LKS
2225+57  42622.354    3.8  LKS
2225+57  42623.396    3.9  LKS
2225+57  42624.354    4.1  LKS
2225+57  42626.396    4.2  LKS
2225+57  42627.417    4.1  LKS
2225+57  42628.254    3.8  LKS
2225+57  42630.254    3.9  LKS
2225+57  42631.317    3.9  LKS
2225+57  42633.298    3.7  LKS
2225+57  42634.3      3.7  LKS
2225+57  42635.296    3.9  LKS
2225+57  42638.417    3.8  LKS
2225+57  42639.154    3.8  LKS
2225+57  42641.244    4.2  LKS
2225+57  42645.433    3.9  LKS
2225+57  42651.254    4.0  LKS
2225+57  42653.254    4.3  LKS
2225+57  42656.356    3.9  LKS
2225+57  42658.417    4.0  LKS
2225+57  42663.396    4.3  LKS
2225+57  42664.396    4.2  LKS
2225+57  42665.256    3.7  LKS
2225+57  42669.354    3.8  LKS
2225+57  42672.354    4.1  LKS
2225+57  42682.417    3.8  LKS
2225+57  42683.354    4.0  LKS
2225+57  42686.254    3.9  LKS
2225+57  42693.417    4.0  LKS
2225+57  42695.254    4.2  LKS
2225+57  42698.345    3.7  LKS
2225+57  42702.417    3.8  LKS
2225+57  42717.354    4.1  LKS
2225+57  42740.3      3.8  LKS
2225+57  42776.3      4.0  LKS
2225+57  42784.405    3.9  LKS
2225+57  42809.333    3.8  LKS
2225+57  42811.39     3.8  LKS
2225+57  42830.38     3.8  LKS
2225+57  42840.4      3.9  LKS
