3791.74576504799  24675.94
3796.45801201451  24620.37
3801.17025898102  24642.47
3805.88250594753  24735.9
3810.59475291404  24711.58
3815.30699988056  24818.09
3820.01924684707  24767.98
3824.73149381358  24783.47
3829.44374078009  24872.55
3834.15598774661  24878.35
3838.86823471312  24905.51
3843.58048167963  24979.1
3848.29272864614  25048.23
3853.00497561266  25187.93
3857.71722257917  25190.13
3862.42946954568  25417.53
3867.14171651219  25267.69
3871.85396347871  25194.66
3876.56621044522  25274.32
3881.27845741173  25411.44
3885.99070437824  25481.01
3890.70295134476  25429.31
3895.41519831127  25571.26
3900.12744527778  25720.19
3904.83969224429  25663.09
3909.55193921081  25633.3
3914.26418617732  25803.43
3918.97643314383  25917.47
3923.68868011034  25881.9
3928.40092707686  25924.21
3933.11317404337  25922.84
3937.82542100988  25841.45
3942.53766797639  26004.89
3947.24991494291  26016.31
3951.96216190942  26095.73
3956.67440887593  26081.35
3961.38665584244  26162.39
3966.09890280896  26210.49
3970.81114977547  26129.39
3975.52339674198  26014.42
3980.23564370849  26084.29
3984.94789067501  26342.79
3989.66013764152  26478.7
3994.37238460803  26451.5
3999.08463157454  26440.86
4003.79687854106  26428.34
4008.50912550757  26419.77
4013.22137247408  26566.61
4017.93361944059  26586.63
4022.64586640711  26646.93
4027.35811337362  26781.36
4032.07036034013  26724.4
4036.78260730664  26726.06
4041.49485427316  26900.56
4046.20710123967  26917.61
4050.91934820618  27135.76
4055.63159517269  26971.05
4060.34384213921  26972.57
4065.05608910572  26966.9
4069.76833607223  27206.26
4074.48058303874  27367.05
4079.19283000526  27318.63
4083.90507697177  27246.01
4088.61732393828  27269.67
4093.32957090479  27376.94
4098.04181787131  27390.12
4102.75406483782  27399.89
4107.46631180433  27467.1
4112.17855877084  27604.74
4116.89080573736  27808.45
4121.60305270387  27946.47
4126.31529967038  27778.06
4131.02754663689  27746.39
4135.73979360341  27843.27
4140.45204056992  27909.74
4145.16428753643  27910.47
4149.87653450294  27912.55
4154.58878146946  28031.81
4159.30102843597  28131.01
4164.01327540248  28193.86
4168.72552236899  28228.54
4173.43776933551  28161.62
4178.15001630202  28225.3
4182.86226326853  28239.49
4187.57451023504  28359.31
4192.28675720156  28515.12
4196.99900416807  28593.42
4201.71125113458  28622.57
4206.42349810109  28596.03
4211.13574506761  28642.97
4215.84799203412  28771.17
4220.56023900063  28740.7
4225.27248596714  28797.54
4229.98473293366  28981.99
4234.69697990017  28885.7
4239.40922686668  28918.81
4244.12147383319  29012.26
4248.83372079971  29148.61
4253.54596776622  29249.26
4258.25821473273  29275.46
4262.97046169924  29152.24
4267.68270866576  29228.78
4272.39495563227  29371.
4277.10720259878  29534.16
4281.8194495653  29663.19
4286.53169653181  29777.69
4291.24394349832  29766.85
4295.95619046483  29564.41
4300.66843743134  29567.89
4305.38068439786  29703.05
4310.09293136437  29863.31
4314.80517833088  29948.25
4319.5174252974  30006.38
